Название,Глубина
Митино,-14
Кунцевская,0
Калужская,-10
Соколиная Гора,-5
Менделеевская,"-48,5"
ВДНХ,"-53,5"
Выставочная,-25
Профсоюзная,-7
Боровицкая,"-46,5"
Перово,-9
Спортивная,-42
Ломоносовский проспект,-15
Андроновка,0
Улица Дмитриевского,-18
Технопарк,0
Кунцевская,"-31,2"
Славянский бульвар,"-8,5"
Шоссе Энтузиастов,-53
Раменки,-15
Александровский сад,-7
Щёлковская,-8
Кунцевская,0
Университет,"-26,5"
Марксистская,-60
Улица Горчакова,"9,6"
Библиотека имени Ленина,-12
Отрадное,-9
Пражская,"-9,5"
Достоевская,-60
Киевская,-48
Мичуринский проспект,-13
Нижегородская,"-21,8"
Каховская,-8
Медведково,-10
Мичуринский проспект,-19
Курская,-40
Багратионовская,0
Свиблово,-8
Лермонтовский проспект,-12
Улица 1905 года,-11
Бульвар Дмитрия Донского,-10
Речной вокзал,-6
Выставочный центр,6
Краснопресненская,"-35,5"
Шелепиха,-18
Новоясеневская,-7
Тушинская,"-10,5"
Щукинская,-13
Косино,-27
Крымская,-3
Серпуховская,-43
Алексеевская,-51
Коммунарка,?
Лухмановская,-15
Новогиреево,-9
Полежаевская,-10
Электрозаводская,-20
Румянцево,-12
Мякинино,0
Третьяковская,-46
ЗИЛ,0
Чистые пруды,-35
Зорге,0
Красногвардейская,-9
Угрешская,0
Тульская,"-9,5"
Тургеневская,-49
Трубная,-60
Новослободская,-40
Минская,-15
Текстильщики,-13
Филатов Луг,0
Мнёвники,-27
Тёплый Стан,-8
Павелецкая,-40
Проспект Вернадского,-16
Верхние Котлы,0
Тверская,-42
Фонвизинская,-65
Локомотив,0
Семёновская,-40
Хорошёво,5
Выхино,0
Новокосино,-9
Петровский парк,-25
Измайловская,0
Парк Победы,"-73,6"
Беломорская,-18
Рижская,-46
Шелепиха,5
